date,total_beds,icu_beds_total,icu_beds_used,emergency_beds_total,emergency_patients,normal_beds_total,normal_beds_used,total_patients,staff_on_duty,staff_workload_index
2024-01-01,100,20,11,10,6,70,42,59,40,1.47
2024-01-02,100,20,12,10,7,70,44,63,41,1.54
2024-01-03,100,20,13,10,7,70,45,65,42,1.55
2024-01-04,100,20,14,10,8,70,47,69,43,1.60
2024-01-05,100,20,15,10,9,70,49,73,44,1.66
2024-01-06,100,20,16,10,10,70,51,77,45,1.71
2024-01-07,100,20,15,10,9,70,50,74,44,1.68
2024-01-08,100,20,14,10,8,70,48,70,43,1.63
2024-01-09,100,20,13,10,7,70,46,66,42,1.57
2024-01-10,100,20,12,10,6,70,45,63,41,1.54
2024-01-11,100,20,13,10,7,70,46,66,42,1.57
2024-01-12,100,20,14,10,8,70,48,70,43,1.63
2024-01-13,100,20,16,10,10,70,52,78,45,1.73
2024-01-14,100,20,17,10,11,70,54,82,46,1.78
2024-01-15,100,20,18,10,12,70,56,86,47,1.83
2024-01-16,100,20,17,10,11,70,55,83,46,1.80
2024-01-17,100,20,16,10,10,70,53,79,45,1.76
2024-01-18,100,20,15,10,9,70,51,75,44,1.70
2024-01-19,100,20,14,10,8,70,49,71,43,1.65
2024-01-20,100,20,15,10,9,70,50,74,44,1.68
2024-01-21,100,20,16,10,10,70,52,78,45,1.73
2024-01-22,100,20,17,10,11,70,54,82,46,1.78
2024-01-23,100,20,18,10,12,70,56,86,47,1.83
2024-01-24,100,20,19,10,13,70,58,90,48,1.88
2024-01-25,100,20,18,10,12,70,57,87,47,1.85
2024-01-26,100,20,17,10,11,70,55,83,46,1.80
2024-01-27,100,20,16,10,10,70,53,79,45,1.76
2024-01-28,100,20,15,10,9,70,51,75,44,1.70
2024-01-29,100,20,14,10,8,70,49,71,43,1.65
2024-01-30,100,20,13,10,7,70,47,67,42,1.60
2024-01-31,100,20,12,10,6,70,45,63,41,1.54
